MerchantId,MerchantName,Category,RiskTier,PopularityWeight,Country
1,Romero-Patrick,GROCERY,LOW,1.8141742525045137,USA
2,Tran-Gilbert,DIGITAL,LOW,1.6156040478046743,USA
3,Peterson Group,GROCERY,LOW,1.391573116751504,USA
4,"Wright, Mullins and King",GROCERY,MED,1.9524611954110516,USA
5,"Green, Cruz and Herrera",RETAIL,LOW,1.0888470999840674,USA
6,Blankenship-Davis,RETAIL,LOW,2.267277400453839,USA
7,Gould-Waters,RETAIL,LOW,1.4395716607388709,USA
8,"Nguyen, Terry and Hansen",FUEL,LOW,4.652131714987564,MEX
9,Odom-Moore,TRAVEL,LOW,2.8240547549001414,USA
10,Henderson and Sons,RETAIL,LOW,1.6940747274173422,CAN
11,Briggs LLC,RETAIL,LOW,1.053084431033009,MEX
12,Estes-Mckee,DIGITAL,LOW,1.2891194109793125,USA
13,Jimenez-Kelly,FUEL,HIGH,1.87296626101384,USA
14,Perez Group,DINING,LOW,1.6098913144545288,USA
15,Salazar-Griffin,FUEL,LOW,5.200861622470917,USA
16,"Ward, Carpenter and Scott",DIGITAL,MED,1.229276104248776,USA
17,Velasquez-Branch,DIGITAL,LOW,1.0732424263206877,USA
18,Walker Group,FUEL,LOW,2.4071396935522493,USA
19,"Meyer, Oconnor and Rodriguez",DIGITAL,LOW,3.630227587695878,USA
20,Brooks Inc,RETAIL,LOW,1.0231403775518149,USA
21,Graham and Sons,DINING,LOW,1.1954179164519612,USA
22,Huff Group,GROCERY,LOW,2.471197294567944,USA
23,"Castillo, Keller and Anderson",DINING,LOW,1.8138111358410958,USA
24,Crawford LLC,RETAIL,LOW,8.679732990763762,USA
25,Howell Ltd,GROCERY,LOW,1.0243286770356421,USA
26,Chan-Chavez,GROCERY,LOW,1.2183853909204225,USA
27,Thompson-Mendez,DINING,LOW,64.95432527752432,USA
28,Hughes LLC,DINING,LOW,2.354233773827161,GBR
29,Brown-Bullock,DINING,LOW,1.5478593489944144,DEU
30,"Santana, Hawkins and Taylor",GROCERY,LOW,2.01775669755095,USA
