DisputeId,Transactions,OpenedAt,ResolvedAt,ReasonCode,State,Outcome,DisputedAmount
1,611642,2026-04-05T19:52:44Z,,DUPLICATE,OPEN,,16.88
2,102180,2026-01-29T21:22:22Z,,FRAUD,UNDER_REVIEW,,26.09
3,753959,2026-03-19T06:24:40Z,2026-04-04T06:24:40Z,FRAUD,RESOLVED,CUSTOMER_WON,46.81
4,234019,2026-02-13T17:50:35Z,,FRAUD,UNDER_REVIEW,,37.11
5,33145,2026-01-31T19:18:29Z,2026-03-03T19:18:29Z,NOT_AS_DESCRIBED,RESOLVED,WITHDRAWN,16.49
6,931291,2026-03-28T23:59:10Z,2026-05-25T23:59:10Z,FRAUD,RESOLVED,MERCHANT_WON,33.43
7,490414,2026-03-07T03:33:20Z,2026-04-07T03:33:20Z,NOT_AS_DESCRIBED,RESOLVED,WITHDRAWN,14.02
8,115028,2026-01-25T04:46:35Z,,NOT_RECEIVED,OPEN,,79.13
9,297361,2026-02-08T10:49:20Z,2026-02-21T10:49:20Z,FRAUD,RESOLVED,MERCHANT_WON,26.97
10,909614,2026-03-30T10:21:50Z,,FRAUD,OPEN,,28.33
11,428396,2026-02-24T08:53:48Z,,FRAUD,OPEN,,16.98
12,520567,2026-02-23T10:54:45Z,2026-04-01T10:54:45Z,FRAUD,RESOLVED,CUSTOMER_WON,13.95
13,135888,2026-02-11T15:04:38Z,,NOT_RECEIVED,UNDER_REVIEW,,123.03
14,659331,2026-03-27T13:12:07Z,,FRAUD,UNDER_REVIEW,,11.0
15,334531,2026-02-03T03:56:56Z,2026-03-23T03:56:56Z,DUPLICATE,RESOLVED,CUSTOMER_WON,13.81
16,398258,2026-03-20T15:16:32Z,2026-03-28T15:16:32Z,DUPLICATE,RESOLVED,CUSTOMER_WON,13.75
17,659968,2026-04-02T23:37:51Z,,NOT_RECEIVED,UNDER_REVIEW,,49.93
18,482666,2026-03-26T19:07:24Z,,FRAUD,UNDER_REVIEW,,38.04
19,606002,2026-02-27T07:17:58Z,,FRAUD,OPEN,,5.12
20,311954,2026-02-01T09:20:03Z,,NOT_RECEIVED,OPEN,,25.78
21,335117,2026-03-01T20:22:02Z,2026-03-17T20:22:02Z,NOT_RECEIVED,RESOLVED,CUSTOMER_WON,94.31
