LocationId,LocationCode,LocationName,LocationType,Country,Region,City,Postcode,TimeZone,IsActive
1,LOC000001,Node 00001,Dc,GB,EAST,Liverpool,SC33 5AB,Europe/London,True
2,LOC000002,Node 00002,Store,GB,WEST,Leeds,SC66 2AB,Europe/London,True
3,LOC000003,Node 00003,CustomerSite,GB,EAST,Manchester,SC92 1AB,Europe/London,True
4,LOC000004,Node 00004,SupplierSite,GB,WEST,Glasgow,SC36 2AB,Europe/London,True
5,LOC000005,Node 00005,Dc,GB,WEST,Liverpool,SC13 2AB,Europe/London,True
6,LOC000006,Node 00006,SupplierSite,GB,EAST,Leeds,SC24 4AB,Europe/London,True
7,LOC000007,Node 00007,Store,GB,WEST,Birmingham,SC66 1AB,Europe/London,True
8,LOC000008,Node 00008,Store,GB,EAST,Birmingham,SC55 2AB,Europe/London,True
9,LOC000009,Node 00009,Dc,GB,NORTH,Leeds,SC55 2AB,Europe/London,True
10,LOC000010,Node 00010,Store,GB,SOUTH,Leeds,SC67 6AB,Europe/London,True
11,LOC000011,Node 00011,Store,GB,EAST,Liverpool,SC22 2AB,Europe/London,True
12,LOC000012,Node 00012,Store,GB,EAST,Liverpool,SC90 1AB,Europe/London,True
13,LOC000013,Node 00013,Store,GB,SCOTLAND,Glasgow,SC49 5AB,Europe/London,False
14,LOC000014,Node 00014,Dc,GB,SCOTLAND,Glasgow,SC23 4AB,Europe/London,True
15,LOC000015,Node 00015,SupplierSite,GB,WEST,Liverpool,SC37 8AB,Europe/London,True
16,LOC000016,Node 00016,CustomerSite,GB,WEST,Liverpool,SC57 8AB,Europe/London,True
17,LOC000017,Node 00017,SupplierSite,GB,NORTH,Liverpool,SC34 8AB,Europe/London,True
18,LOC000018,Node 00018,Dc,GB,SOUTH,Manchester,SC58 2AB,Europe/London,True
19,LOC000019,Node 00019,SupplierSite,GB,NORTH,Newcastle,SC23 6AB,Europe/London,True
20,LOC000020,Node 00020,Store,GB,WEST,Liverpool,SC34 1AB,Europe/London,True
21,LOC000021,Node 00021,Store,GB,WEST,Newcastle,SC29 8AB,Europe/London,True
22,LOC000022,Node 00022,Store,GB,NORTH,Leeds,SC63 6AB,Europe/London,True
23,LOC000023,Node 00023,Dc,GB,SOUTH,Bristol,SC68 4AB,Europe/London,True
24,LOC000024,Node 00024,CustomerSite,GB,SCOTLAND,Manchester,SC89 4AB,Europe/London,True
25,LOC000025,Node 00025,Dc,GB,NORTH,Newcastle,SC37 6AB,Europe/London,True
26,LOC000026,Node 00026,SupplierSite,GB,WEST,London,SC47 8AB,Europe/London,True
27,LOC000027,Node 00027,CustomerSite,GB,WEST,Liverpool,SC19 7AB,Europe/London,True
28,LOC000028,Node 00028,Store,GB,SOUTH,Birmingham,SC16 4AB,Europe/London,True
29,LOC000029,Node 00029,Store,GB,SCOTLAND,London,SC66 2AB,Europe/London,True
30,LOC000030,Node 00030,Dc,GB,WEST,London,SC96 7AB,Europe/London,True
31,LOC000031,Node 00031,Dc,GB,WEST,Glasgow,SC59 4AB,Europe/London,True
32,LOC000032,Node 00032,Dc,GB,SCOTLAND,Glasgow,SC33 7AB,Europe/London,True
33,LOC000033,Node 00033,Store,GB,SCOTLAND,London,SC88 8AB,Europe/London,True
34,LOC000034,Node 00034,Store,GB,EAST,Liverpool,SC68 1AB,Europe/London,True
35,LOC000035,Node 00035,Store,GB,EAST,London,SC16 7AB,Europe/London,True
36,LOC000036,Node 00036,Store,GB,SCOTLAND,Glasgow,SC51 3AB,Europe/London,True
37,LOC000037,Node 00037,Store,GB,MIDLANDS,Leeds,SC93 3AB,Europe/London,True
38,LOC000038,Node 00038,Store,GB,MIDLANDS,Leeds,SC25 1AB,Europe/London,True
39,LOC000039,Node 00039,Store,GB,SOUTH,Liverpool,SC53 2AB,Europe/London,True
40,LOC000040,Node 00040,Store,GB,MIDLANDS,Manchester,SC87 3AB,Europe/London,True
