ProductId,Sku,ProductName,Brand,Category,Subcategory,Uom,UnitsPerCase,UnitWeightKg,UnitVolumeM3,TemperatureZone,IsPerishable,ShelfLifeDays,StandardCost,ListPrice,LaunchDate,DiscontinueDate
1,SKU0000001,Product 000001,Orion,ELECTRONICS,ELECTRONICS_CORE,EA,2,9.064,0.1629,Ambient,False,,15.35,18.28,154,
2,SKU0000002,Product 000002,Northwind,GROCERY,GROCERY_CORE,EA,4,2.335,0.1174,Ambient,True,81.0,7.48,11.82,126,
3,SKU0000003,Product 000003,Nimbus,GROCERY,GROCERY_CORE,EA,11,1.04,0.0651,Ambient,True,10.0,16.82,21.98,169,
4,SKU0000004,Product 000004,Nimbus,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,5,0.984,0.1328,Ambient,False,,7.12,9.69,98,
5,SKU0000005,Product 000005,Oak,GROCERY,GROCERY_CORE,EA,5,5.73,0.1191,Ambient,True,99.0,22.37,29.91,165,
6,SKU0000006,Product 000006,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,2,2.492,0.3938,Ambient,False,,17.57,29.11,52,
7,SKU0000007,Product 000007,Nimbus,HOUSEHOLD,HOUSEHOLD_CORE,EA,11,8.19,0.255,Ambient,False,,5.72,10.09,161,
8,SKU0000008,Product 000008,Atlas,GROCERY,GROCERY_CORE,EA,7,3.012,0.1075,Chilled,True,102.0,9.59,16.95,121,
9,SKU0000009,Product 000009,Northwind,GROCERY,GROCERY_CORE,EA,7,2.253,0.1119,Chilled,True,22.0,6.48,7.89,155,
10,SKU0000010,Product 000010,Atlas,BEVERAGE,BEVERAGE_CORE,CASE,5,1.032,0.1099,Chilled,True,30.0,20.3,34.93,167,
11,SKU0000011,Product 000011,Nimbus,GROCERY,GROCERY_CORE,EA,2,1.034,0.0687,Ambient,True,73.0,10.21,16.47,82,
12,SKU0000012,Product 000012,Verde,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,3,0.975,0.0513,Ambient,False,,8.82,10.56,165,
13,SKU0000013,Product 000013,Oak,SEASONAL,SEASONAL_CORE,EA,6,3.032,0.1695,Ambient,False,,4.57,8.15,51,
14,SKU0000014,Product 000014,Oak,HOUSEHOLD,HOUSEHOLD_CORE,EA,9,5.348,0.3075,Ambient,False,,4.06,4.76,33,
15,SKU0000015,Product 000015,Nimbus,SEASONAL,SEASONAL_CORE,EA,3,0.71,0.1505,Ambient,False,,14.3,17.15,114,
16,SKU0000016,Product 000016,Harbor,ELECTRONICS,ELECTRONICS_CORE,EA,9,1.032,0.075,Ambient,False,,9.32,13.95,144,
17,SKU0000017,Product 000017,Northwind,BEVERAGE,BEVERAGE_CORE,CASE,3,2.031,0.0605,Ambient,True,107.0,3.16,5.12,150,
18,SKU0000018,Product 000018,Summit,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,6,11.863,0.0976,Ambient,False,,26.98,32.82,73,
19,SKU0000019,Product 000019,Summit,GROCERY,GROCERY_CORE,EA,11,0.666,0.2164,Ambient,True,29.0,9.93,17.64,31,
20,SKU0000020,Product 000020,Harbor,GROCERY,GROCERY_CORE,EA,8,0.947,0.088,Chilled,True,118.0,8.28,9.97,43,
21,SKU0000021,Product 000021,Summit,HOUSEHOLD,HOUSEHOLD_CORE,EA,10,3.013,0.1801,Ambient,False,,3.74,6.24,56,
22,SKU0000022,Product 000022,Atlas,BEVERAGE,BEVERAGE_CORE,CASE,6,0.665,0.1732,Chilled,True,94.0,3.67,5.62,65,
23,SKU0000023,Product 000023,Oak,GROCERY,GROCERY_CORE,EA,3,2.15,0.0488,Chilled,True,96.0,4.05,4.91,28,
24,SKU0000024,Product 000024,Northwind,BEVERAGE,BEVERAGE_CORE,CASE,7,2.167,0.1725,Ambient,True,41.0,12.31,20.68,155,
25,SKU0000025,Product 000025,Atlas,SEASONAL,SEASONAL_CORE,EA,12,3.966,0.3253,Ambient,False,,17.51,26.61,100,
26,SKU0000026,Product 000026,Verde,HOUSEHOLD,HOUSEHOLD_CORE,EA,5,1.195,0.2265,Ambient,False,,3.51,4.61,64,
27,SKU0000027,Product 000027,Atlas,GROCERY,GROCERY_CORE,EA,8,7.086,0.2658,Ambient,True,11.0,9.9,17.22,75,
28,SKU0000028,Product 000028,Atlas,GROCERY,GROCERY_CORE,EA,7,1.692,0.2283,Chilled,True,42.0,12.6,21.14,72,
29,SKU0000029,Product 000029,Verde,BEVERAGE,BEVERAGE_CORE,CASE,3,1.573,0.0577,Chilled,True,103.0,2.51,3.72,15,
30,SKU0000030,Product 000030,Verde,ELECTRONICS,ELECTRONICS_CORE,EA,10,4.325,0.0991,Ambient,False,,26.48,42.49,61,
31,SKU0000031,Product 000031,Verde,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,10,1.888,0.2473,Ambient,False,,10.37,13.12,15,
32,SKU0000032,Product 000032,Orion,ELECTRONICS,ELECTRONICS_CORE,EA,1,0.918,0.0946,Ambient,False,,16.94,20.84,103,
33,SKU0000033,Product 000033,Verde,BEVERAGE,BEVERAGE_CORE,CASE,6,1.508,0.1749,Ambient,True,84.0,18.06,26.5,2,
