SupplierId,SupplierCode,SupplierName,SupplierTier,Country,PreferredFlag,PaymentTermsDays,RiskScore,DefaultShipFromLocation
1,SUP000001,Supplier 00001,1,FR,True,45,33,19
2,SUP000002,Supplier 00002,2,GB,False,15,9,19
3,SUP000003,Supplier 00003,1,GB,False,30,36,17
4,SUP000004,Supplier 00004,2,IE,True,30,45,19
5,SUP000005,Supplier 00005,2,NL,True,45,52,4
6,SUP000006,Supplier 00006,2,GB,True,30,82,6
7,SUP000007,Supplier 00007,3,DE,True,45,38,6
8,SUP000008,Supplier 00008,2,FR,False,30,52,15
9,SUP000009,Supplier 00009,1,NL,False,30,52,6
10,SUP000010,Supplier 00010,1,GB,True,30,61,17
11,SUP000011,Supplier 00011,2,IE,True,45,37,6
12,SUP000012,Supplier 00012,1,DE,True,45,34,17
13,SUP000013,Supplier 00013,3,GB,True,30,38,17
14,SUP000014,Supplier 00014,1,GB,True,45,53,4
15,SUP000015,Supplier 00015,2,IE,True,30,46,19
16,SUP000016,Supplier 00016,2,IE,False,45,34,6
17,SUP000017,Supplier 00017,2,GB,True,30,13,6
18,SUP000018,Supplier 00018,2,NL,True,30,62,15
19,SUP000019,Supplier 00019,2,GB,True,45,46,6
20,SUP000020,Supplier 00020,2,GB,True,45,81,6
21,SUP000021,Supplier 00021,2,GB,True,30,49,19
22,SUP000022,Supplier 00022,3,FR,True,45,34,15
23,SUP000023,Supplier 00023,2,DE,True,30,46,4
24,SUP000024,Supplier 00024,3,GB,True,30,49,26
25,SUP000025,Supplier 00025,2,NL,False,30,71,17
26,SUP000026,Supplier 00026,3,GB,True,30,20,15
27,SUP000027,Supplier 00027,1,FR,True,30,16,17
28,SUP000028,Supplier 00028,3,IE,False,30,45,19
29,SUP000029,Supplier 00029,3,FR,False,45,26,26
30,SUP000030,Supplier 00030,2,IE,True,60,29,19
31,SUP000031,Supplier 00031,1,DE,False,15,37,15
32,SUP000032,Supplier 00032,3,GB,False,60,67,26
33,SUP000033,Supplier 00033,2,GB,False,45,43,15
34,SUP000034,Supplier 00034,1,FR,True,30,41,6
35,SUP000035,Supplier 00035,2,GB,False,45,63,15
36,SUP000036,Supplier 00036,1,GB,False,30,57,6
37,SUP000037,Supplier 00037,2,GB,True,45,40,19
38,SUP000038,Supplier 00038,2,GB,False,45,50,15
39,SUP000039,Supplier 00039,3,GB,False,30,26,4
40,SUP000040,Supplier 00040,3,GB,False,45,47,17
41,SUP000041,Supplier 00041,2,GB,False,30,26,26
42,SUP000042,Supplier 00042,1,GB,True,60,42,6
43,SUP000043,Supplier 00043,2,GB,True,30,0,6
44,SUP000044,Supplier 00044,2,IE,True,30,26,15
45,SUP000045,Supplier 00045,2,GB,False,45,27,17
46,SUP000046,Supplier 00046,1,FR,True,30,40,15
47,SUP000047,Supplier 00047,1,FR,True,30,64,6
48,SUP000048,Supplier 00048,3,GB,True,15,71,17
49,SUP000049,Supplier 00049,2,IE,False,45,20,4
50,SUP000050,Supplier 00050,3,FR,True,60,50,26
51,SUP000051,Supplier 00051,3,GB,False,30,28,6
52,SUP000052,Supplier 00052,1,IE,False,45,58,19
53,SUP000053,Supplier 00053,2,GB,False,30,44,19
54,SUP000054,Supplier 00054,1,FR,True,30,40,4
55,SUP000055,Supplier 00055,3,IE,False,45,22,4
56,SUP000056,Supplier 00056,3,GB,False,30,68,4
57,SUP000057,Supplier 00057,3,GB,False,30,42,6
58,SUP000058,Supplier 00058,1,GB,True,30,63,19
59,SUP000059,Supplier 00059,1,GB,True,45,58,26
60,SUP000060,Supplier 00060,2,GB,False,45,69,15
