InventoryMovementId,Product,FromLocation,ToLocation,MovementDate,MovementTimestamp,MovementType,ReferenceType,ReferenceId,Qty,UnitCost,ReasonCode
1,169,,40,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,189,,SystemCorrection
2,3,,5,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,95,,SystemCorrection
3,75,,29,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,55,,SystemCorrection
4,104,,22,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,102,,SystemCorrection
5,134,,32,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,282,,SystemCorrection
6,176,,10,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,237,,SystemCorrection
7,4,,35,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,129,,SystemCorrection
8,152,,13,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,239,,SystemCorrection
9,187,,18,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,73,,SystemCorrection
10,49,,1,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,51,,SystemCorrection
11,147,,11,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,129,,SystemCorrection
12,32,,35,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,171,,SystemCorrection
13,43,,37,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,240,,SystemCorrection
14,63,,32,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,145,,SystemCorrection
15,130,,2,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,224,,SystemCorrection
16,104,,21,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,160,,SystemCorrection
17,75,,5,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,130,,SystemCorrection
18,79,,20,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,191,,SystemCorrection
19,109,,32,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,159,,SystemCorrection
20,63,,35,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,101,,SystemCorrection
21,102,,33,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,224,,SystemCorrection
22,127,,25,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,187,,SystemCorrection
23,108,,40,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,176,,SystemCorrection
24,13,,2,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,123,,SystemCorrection
25,3,,2,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,53,,SystemCorrection
26,41,,18,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,77,,SystemCorrection
27,73,,34,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,198,,SystemCorrection
28,126,,29,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,185,,SystemCorrection
29,45,,30,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,138,,SystemCorrection
30,108,,22,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,258,,SystemCorrection
31,17,,14,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,205,,SystemCorrection
32,86,,39,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,270,,SystemCorrection
33,94,,9,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,74,,SystemCorrection
34,106,,1,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,290,,SystemCorrection
35,99,,13,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,199,,SystemCorrection
36,154,,18,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,222,,SystemCorrection
37,115,,28,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,219,,SystemCorrection
38,178,,39,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,173,,SystemCorrection
39,180,,22,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,300,,SystemCorrection
40,152,,14,1,2026-01-01T00:00:00Z,Adjustment,InitialLoad,INIT,295,,SystemCorrection
