ProductSupplierId,Product,Supplier,IsPrimarySupplier,MinOrderQty,OrderMultipleQty,PackSize,PlannedLeadTimeDays,UnitPurchaseCost,Incoterm,ShipMode
1,1,7,True,40,1,1,15,14.44,EXW,Road
2,1,29,False,40,4,4,3,6.34,EXW,Road
3,1,32,False,10,1,1,19,6.71,DAP,Road
4,2,15,True,100,2,2,7,4.77,DAP,Ocean
5,2,28,True,10,5,5,15,10.68,EXW,Air
6,3,36,True,10,5,5,3,11.77,EXW,Road
7,3,39,False,20,5,5,15,9.05,DDP,Road
8,4,33,True,20,1,1,21,12.22,EXW,Road
9,5,27,True,40,1,1,13,7.84,FCA,Road
10,5,36,True,40,4,4,9,10.22,EXW,Air
11,6,3,True,40,1,1,10,22.87,FCA,Road
12,6,5,False,40,2,2,19,3.64,DAP,Road
13,6,29,False,20,4,4,8,17.21,DDP,Road
14,6,40,False,100,5,5,13,5.54,FCA,Road
15,7,43,True,20,1,1,8,6.45,DAP,Road
16,8,44,True,10,2,2,14,4.99,EXW,Road
17,9,15,True,40,2,2,21,10.98,FCA,Road
18,9,49,False,40,10,10,12,3.93,DDP,Road
19,9,51,False,10,1,1,6,5.23,DDP,Road
20,10,19,True,20,4,4,13,4.31,EXW,Road
21,10,45,False,60,2,2,4,7.14,EXW,Air
22,10,55,True,60,1,1,2,5.52,EXW,Road
23,11,24,True,60,1,1,8,20.59,DDP,Ocean
24,11,34,True,60,5,5,8,11.82,DDP,Ocean
25,11,42,True,20,2,2,11,4.8,EXW,Road
26,12,9,True,60,1,1,2,5.8,FCA,Road
27,12,40,True,10,1,1,3,10.22,DDP,Road
28,13,8,True,10,10,10,13,14.4,EXW,Ocean
29,13,28,False,20,1,1,17,8.99,EXW,Road
30,13,36,False,10,10,10,7,5.14,DAP,Road
31,13,51,False,20,2,2,2,18.31,FCA,Ocean
32,14,12,True,60,2,2,13,5.9,FCA,Road
33,14,33,False,40,5,5,15,6.64,EXW,Road
34,15,9,True,20,2,2,20,4.79,FCA,Air
35,16,25,True,100,2,2,14,2.61,DDP,Road
36,16,56,False,20,2,2,8,6.01,DAP,Road
37,16,58,False,20,10,10,2,4.78,EXW,Road
38,17,26,True,40,1,1,6,6.54,FCA,Road
39,17,37,False,20,4,4,9,11.64,DDP,Ocean
40,17,58,False,60,4,4,12,6.72,DDP,Air
41,18,27,True,60,2,2,18,6.54,FCA,Air
42,18,38,False,100,4,4,9,11.78,FCA,Road
43,19,10,True,20,2,2,8,8.7,DDP,Road
44,19,15,False,20,2,2,19,14.86,DAP,Road
45,19,23,False,20,10,10,5,3.2,DAP,Road
46,19,31,True,10,1,1,20,4.02,EXW,Road
47,19,55,False,10,4,4,3,12.18,FCA,Road
48,19,58,False,10,2,2,5,6.12,FCA,Road
49,20,39,True,60,1,1,12,8.04,DAP,Road
