PurchaseOrderLineId,PurchaseOrderId,LineNumber,Supplier,Product,ShipFromLocation,DeliverToLocation,OrderDate,ExpectedReceiptDate,ReceiptDate,OrderedQty,ReceivedQty,UnitPurchaseCost,Status,CancelReason,PlannedLeadTimeDays,ActualLeadTimeDays
1,200001,1,4,186,19,1,62,83,86.0,40,38,6.66,PartReceived,,21,24.0
2,200002,1,34,11,6,18,122,130,132.0,85,81,12.29,PartReceived,,8,10.0
3,200003,1,13,186,17,30,38,43,43.0,90,89,3.29,PartReceived,,5,5.0
4,200004,1,40,169,17,32,52,59,69.0,150,147,10.11,PartReceived,,7,17.0
5,200005,1,3,47,17,14,100,115,124.0,25,14,5.32,PartReceived,,15,24.0
6,200006,1,30,69,19,9,173,175,174.0,35,34,6.88,PartReceived,,2,1.0
7,200007,1,17,194,6,18,117,125,124.0,120,114,7.38,PartReceived,,8,7.0
8,200008,1,5,200,4,18,127,142,144.0,75,71,18.5,PartReceived,,15,17.0
9,200009,1,51,9,6,14,82,88,89.0,11,10,5.23,PartReceived,,6,7.0
10,200010,1,14,192,4,31,102,120,119.0,40,38,7.07,PartReceived,,18,17.0
11,200010,2,1,152,19,9,166,170,172.0,66,65,12.26,PartReceived,,4,6.0
12,200010,3,7,179,6,32,105,124,123.0,115,114,4.32,PartReceived,,19,18.0
13,200011,1,46,102,15,31,68,79,80.0,40,38,11.88,PartReceived,,11,12.0
14,200011,2,58,89,19,25,129,141,141.0,42,41,4.78,PartReceived,,12,12.0
15,200011,3,1,88,19,25,80,93,93.0,14,6,4.12,PartReceived,,13,13.0
16,200012,1,56,196,4,30,153,161,163.0,66,64,4.38,PartReceived,,8,10.0
17,200013,1,59,127,26,9,136,148,148.0,46,44,10.48,PartReceived,,12,12.0
18,200014,1,45,153,17,31,1,11,12.0,26,25,2.12,PartReceived,,10,11.0
19,200015,1,5,86,4,23,146,154,155.0,30,29,1.96,PartReceived,,8,9.0
20,200015,2,32,181,26,32,138,156,155.0,76,72,18.12,PartReceived,,18,17.0
21,200016,1,15,185,19,5,110,117,116.0,12,9,11.72,PartReceived,,7,6.0
22,200016,2,45,143,17,5,12,15,15.0,28,27,7.63,PartReceived,,3,3.0
