SalesOrderLineId,SalesOrderId,LineNumber,Customer,Product,ShipFromLocation,ShipToLocation,OrderDate,RequestedShipDate,PromisedDeliveryDate,ActualDeliveryDate,OrderedQty,AllocatedQty,ShippedQty,BackorderedQty,UnitSellPrice,Status,Channel
1,100001,1,159,32,25,36,179,180,180,,1,0,0,1,19.59,Open,Store
2,100002,1,252,23,9,16,31,35,42,,4,3,2,2,4.82,PartShipped,Ecomm
3,100003,1,270,61,14,27,98,100,101,,1,0,0,1,21.43,Open,Ecomm
4,100003,2,132,156,30,7,118,122,127,,1,0,0,1,28.54,Open,Store
5,100004,1,247,75,18,13,56,57,60,,3,1,0,3,30.72,Open,Store
6,100005,1,81,18,14,35,151,153,154,157.0,4,3,2,2,31.56,Delivered,Store
7,100005,2,92,13,18,3,49,50,55,,1,0,0,1,7.8,Open,Ecomm
8,100006,1,178,6,30,12,126,128,134,,2,1,0,2,28.1,Open,Store
9,100006,2,134,5,23,3,47,48,49,,1,0,0,1,29.53,Open,Ecomm
10,100007,1,39,54,31,24,135,139,143,142.0,4,3,2,2,10.24,Delivered,Ecomm
11,100007,2,148,150,32,16,19,23,24,23.0,3,2,1,2,7.74,Delivered,Ecomm
12,100007,3,236,79,14,39,122,126,130,,2,1,0,2,24.36,Open,Store
13,100007,4,281,91,30,37,122,123,124,,1,0,0,1,11.09,Open,Store
14,100008,1,11,88,30,39,123,127,128,,1,0,0,1,36.28,Open,Store
15,100009,1,291,71,31,38,82,84,90,,2,1,0,2,21.1,Open,Store
16,100009,2,15,11,5,7,153,156,158,161.0,3,2,1,2,15.82,Delivered,Store
17,100010,1,238,115,31,3,17,21,25,,2,1,0,2,9.03,Open,B2B
18,100011,1,118,72,5,24,70,72,76,,5,0,0,5,5.97,Cancelled,Ecomm
19,100012,1,262,197,5,27,113,115,116,,2,1,0,2,5.63,Open,Ecomm
20,100013,1,264,69,30,13,32,35,40,42.0,3,2,1,2,13.56,Delivered,Store
21,100013,2,233,135,30,7,59,63,65,,2,1,0,2,29.86,Open,Store
22,100014,1,162,109,5,2,156,160,166,,3,1,0,3,11.62,Open,Store
23,100015,1,67,163,14,24,43,45,46,,2,1,0,2,9.58,Open,Ecomm
24,100015,2,184,33,1,3,41,45,52,51.0,3,2,1,2,24.65,Delivered,Ecomm
25,100016,1,196,1,9,21,73,74,76,,2,1,0,2,17.07,Open,Store
26,100017,1,221,4,30,21,80,82,85,,1,0,0,1,9.42,Open,Store
27,100017,2,288,199,5,24,139,142,148,,2,1,0,2,5.55,Open,Ecomm
28,100018,1,5,33,31,27,22,26,28,,4,1,0,4,24.41,Open,Ecomm
29,100019,1,149,4,23,11,115,116,120,,2,0,0,2,9.02,Open,Store
30,100020,1,122,29,25,16,84,86,87,,1,0,0,1,3.61,Open,B2B
31,100021,1,114,2,5,12,125,127,128,,2,1,0,2,11.55,Open,Store
32,100021,2,66,16,5,24,141,145,151,,2,1,0,2,12.93,Open,Ecomm
33,100021,3,250,118,31,2,104,107,110,,1,0,0,1,13.79,Open,Store
34,100021,4,167,99,5,2,174,178,179,179.0,3,2,1,2,16.7,Delivered,Store
35,100022,1,235,104,9,36,2,6,11,11.0,3,2,1,2,28.23,Delivered,Store
36,100022,2,86,20,9,3,8,11,13,,2,1,0,2,9.68,Open,B2B
37,100022,3,287,59,23,27,41,42,49,,2,1,0,2,4.32,Open,Ecomm
38,100022,4,134,45,23,24,140,144,145,,2,1,0,2,19.79,Open,Ecomm
39,100023,1,195,22,1,16,1,2,3,2.0,3,2,1,2,5.31,Delivered,Ecomm
40,100024,1,223,111,25,3,146,148,151,,2,1,0,2,12.42,Open,Ecomm
41,100025,1,61,36,25,39,123,125,132,,1,0,0,1,9.82,Open,Store
42,100026,1,172,121,1,38,41,45,47,,2,1,0,2,8.21,Open,Store
43,100027,1,73,87,9,3,54,55,58,,2,1,0,2,14.76,Open,Ecomm
44,100027,2,158,153,9,11,64,68,73,72.0,4,2,1,3,18.43,Delivered,Store
45,100027,3,98,40,25,24,121,123,127,,3,1,0,3,10.0,Open,Ecomm
46,100028,1,182,93,25,34,163,164,168,170.0,6,5,4,2,10.66,Delivered,Store
47,100028,2,13,167,5,16,152,153,155,,1,0,0,1,32.38,Open,Ecomm
48,100029,1,40,88,14,24,92,94,95,97.0,4,3,2,2,34.23,Delivered,Ecomm
49,100029,2,27,179,1,27,162,166,169,168.0,4,3,2,2,7.87,Delivered,B2B
50,100029,3,202,78,32,20,105,106,109,108.0,3,2,1,2,11.32,Delivered,Store
51,100030,1,145,141,9,11,55,56,60,,2,1,0,2,48.16,Open,Store
52,100030,2,203,27,18,10,146,148,150,,4,3,2,2,17.12,PartShipped,Store
53,100030,3,197,196,18,24,88,89,90,,2,1,0,2,10.45,Open,Ecomm
