ShipmentLineId,ShipmentId,LineNumber,SalesOrderLine,Product,OriginLocation,DestinationLocation,ShipDate,DeliveryDate,ShippedQty,CarrierName,ServiceLevel,PlannedTransitDays,ActualTransitDays,FreightCost,ShipmentStatus,DelayReason
1,500001,1,2,23,9,16,34,39.0,2,LineHaulOne,Ground,4,5.0,4.0,Delivered,
2,500002,1,6,18,14,35,152,154.0,2,ParcelEx,Ground,3,2.0,4.0,Delivered,
3,500003,1,10,54,31,24,139,142.0,2,BlueRoad,Express,2,3.0,4.0,Delivered,
4,500004,1,11,150,32,16,22,25.0,1,ParcelEx,Economy,3,3.0,4.0,Delivered,
5,500005,1,16,11,5,7,155,158.0,1,BlueRoad,Ground,3,3.0,4.0,Delivered,
6,500006,1,20,69,30,13,35,40.0,1,BlueRoad,Express,3,5.0,4.0,Delayed,Weather
7,500007,1,24,33,1,3,45,47.0,1,NorthCarrier,Ground,3,2.0,4.0,Delivered,
8,500008,1,34,99,5,2,178,180.0,1,ParcelEx,Ground,4,4.0,4.0,Delivered,
9,500009,1,35,104,9,36,5,9.0,1,BlueRoad,Express,3,4.0,4.0,Delivered,
10,500010,1,39,22,1,16,1,6.0,1,LineHaulOne,Ground,5,5.0,4.0,Delivered,
11,500011,1,44,153,9,11,68,69.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
12,500012,1,46,93,25,34,163,165.0,4,NorthCarrier,Ground,3,2.0,4.27,Delivered,
13,500013,1,48,88,14,24,94,95.0,2,LineHaulOne,Ground,2,1.0,4.0,Delivered,
14,500014,1,49,179,1,27,166,168.0,2,NorthCarrier,Ground,1,2.0,4.0,Delivered,
15,500015,1,50,78,32,20,105,110.0,1,NorthCarrier,Ground,5,5.0,4.0,Delivered,
16,500016,1,52,27,18,10,148,154.0,1,LineHaulOne,Ground,2,6.0,4.0,Delayed,HubCongestion
17,500017,2,52,27,18,10,148,149.0,1,LineHaulOne,Economy,1,1.0,4.0,Delivered,
18,500018,1,54,182,5,16,151,157.0,1,ParcelEx,Ground,5,6.0,4.0,Delivered,
19,500019,1,59,87,14,7,153,155.0,1,NorthCarrier,Ground,1,2.0,4.0,Delivered,
20,500020,1,66,98,31,27,22,23.0,3,NorthCarrier,Express,1,1.0,6.12,Delivered,
21,500021,1,67,79,23,10,172,176.0,2,BlueRoad,Express,2,4.0,4.0,Delayed,Customs
22,500022,1,77,21,25,11,76,80.0,2,BlueRoad,Ground,4,4.0,4.18,Delivered,
23,500023,1,79,22,32,13,62,68.0,2,LineHaulOne,Express,2,6.0,4.0,Delayed,Weather
24,500024,1,80,192,32,28,174,179.0,2,LineHaulOne,Ground,5,5.0,4.0,Delivered,
25,500025,1,84,147,1,28,167,169.0,1,BlueRoad,Ground,1,2.0,4.0,Delivered,
26,500026,1,87,98,23,3,45,49.0,1,LineHaulOne,Economy,3,4.0,4.0,Delivered,
27,500027,1,88,149,30,2,138,143.0,1,NorthCarrier,Ground,5,5.0,4.0,Delivered,
28,500028,1,92,64,9,16,137,138.0,1,LineHaulOne,Economy,2,1.0,4.0,Delivered,
29,500029,1,100,3,25,7,12,16.0,1,ParcelEx,Ground,3,4.0,4.0,Delivered,
30,500030,1,106,114,32,13,102,107.0,2,NorthCarrier,Ground,4,5.0,4.0,Delivered,
31,500031,1,107,20,18,7,46,47.0,1,BlueRoad,Express,2,1.0,4.0,Delivered,
32,500032,1,109,26,18,3,79,84.0,1,LineHaulOne,Economy,2,5.0,4.0,Delayed,Weather
33,500033,1,110,153,1,13,32,35.0,1,ParcelEx,Express,4,3.0,4.0,Delivered,
34,500034,1,111,144,18,16,87,91.0,1,LineHaulOne,Economy,5,4.0,4.0,Delivered,
35,500035,1,112,128,30,27,178,180.0,2,ParcelEx,Ground,4,4.0,4.0,Delivered,
36,500036,1,114,138,14,39,8,14.0,1,NorthCarrier,Express,5,6.0,4.0,Delivered,
37,500037,1,117,98,31,11,74,75.0,1,ParcelEx,Ground,2,1.0,4.0,Delivered,
38,500038,1,120,40,32,36,119,120.0,1,LineHaulOne,Economy,2,1.0,4.0,Delivered,
39,500039,1,124,158,18,38,41,44.0,1,LineHaulOne,Economy,2,3.0,4.0,Delayed,Capacity
40,500040,1,127,174,23,13,134,136.0,1,ParcelEx,Ground,3,2.0,4.0,Delivered,
