StockCountEventId,Location,Product,CountDate,SystemQty,CountedQty,VarianceQty,VarianceReason
1,14,33,93,129,127,-2,MisPick
2,33,151,20,130,140,10,AdminError
3,36,104,21,113,120,7,AdminError
4,8,124,106,106,103,-3,MisPick
5,9,161,59,135,130,-5,AdminError
6,34,45,6,112,124,12,MisPick
7,28,33,121,126,132,6,Shrink
8,12,16,7,128,113,-15,MisPick
9,12,171,2,109,94,-15,Shrink
10,5,82,98,135,136,1,MisPick
11,28,125,149,132,143,11,Shrink
12,7,186,105,112,99,-13,Damage
13,18,153,159,121,110,-11,MisPick
14,32,51,84,108,109,1,Damage
15,14,86,92,126,138,12,AdminError
16,8,103,44,115,102,-13,Damage
17,7,36,101,111,112,1,MisPick
18,33,117,99,116,98,-18,MisPick
19,25,142,94,116,125,9,MisPick
20,13,129,56,117,121,4,Damage
21,36,16,120,128,125,-3,Damage
22,5,88,163,111,98,-13,Shrink
23,39,43,177,107,87,-20,Damage
24,20,22,80,101,85,-16,Damage
25,10,22,43,117,129,12,AdminError
26,23,3,163,136,132,-4,MisPick
27,39,75,30,115,95,-20,AdminError
28,8,169,142,125,144,19,AdminError
29,9,77,35,125,134,9,Shrink
30,10,86,50,130,138,8,Shrink
31,1,194,92,123,136,13,AdminError
32,8,30,122,111,131,20,AdminError
33,39,98,138,127,136,9,AdminError
34,22,180,127,119,129,10,AdminError
35,40,65,23,116,124,8,Shrink
36,33,66,44,130,132,2,Damage
37,8,179,21,128,134,6,AdminError
38,33,146,12,101,100,-1,Shrink
39,37,20,91,114,108,-6,Damage
40,21,56,43,97,95,-2,MisPick
41,28,195,104,106,96,-10,AdminError
42,36,181,18,106,124,18,Shrink
43,9,17,135,127,131,4,MisPick
44,10,82,110,93,90,-3,MisPick
45,8,16,136,129,126,-3,MisPick
46,7,185,121,120,108,-12,MisPick
47,32,117,113,119,137,18,Damage
48,25,198,82,134,126,-8,MisPick
49,1,192,109,122,118,-4,Shrink
50,32,188,138,118,123,5,AdminError
51,30,147,105,121,118,-3,Shrink
52,13,192,24,113,97,-16,Shrink
53,20,65,103,118,106,-12,Shrink
54,22,146,6,122,120,-2,AdminError
55,20,127,171,129,119,-10,Damage
56,29,197,14,135,152,17,Damage
57,12,149,156,130,132,2,Shrink
58,39,25,33,130,141,11,AdminError
59,5,124,69,119,106,-13,Damage
60,28,176,163,143,134,-9,Damage
61,10,188,165,110,110,0,Damage
62,23,66,98,117,125,8,MisPick
63,13,140,137,116,125,9,Shrink
64,32,142,107,114,95,-19,MisPick
65,8,53,112,115,119,4,MisPick
66,40,70,154,142,156,14,MisPick
67,14,180,57,136,139,3,Damage
68,34,152,46,132,146,14,Damage
69,34,26,40,135,132,-3,Damage
70,34,96,45,123,114,-9,Damage
71,9,68,76,120,108,-12,Damage
72,9,56,16,120,111,-9,Damage
73,23,91,154,125,105,-20,Shrink
74,7,27,142,113,118,5,MisPick
75,1,109,175,120,107,-13,AdminError
76,5,196,53,113,110,-3,Shrink
77,1,99,174,109,99,-10,AdminError
78,32,168,44,113,117,4,Damage
79,31,102,121,124,133,9,Damage
80,34,189,33,99,83,-16,Damage
81,40,52,6,111,97,-14,Damage
82,10,194,62,115,97,-18,AdminError
83,13,63,14,109,108,-1,AdminError
84,18,84,12,143,133,-10,AdminError
85,29,65,35,126,138,12,AdminError
86,29,67,57,108,98,-10,AdminError
87,20,10,105,119,135,16,Damage
88,7,93,1,117,130,13,MisPick
89,21,20,99,122,128,6,AdminError
90,12,115,39,104,120,16,AdminError
91,21,191,19,114,125,11,Shrink
92,7,174,37,111,120,9,MisPick
93,8,171,24,116,121,5,Shrink
94,40,32,149,129,145,16,Shrink
95,23,80,18,127,141,14,Shrink
96,2,192,88,115,111,-4,MisPick
97,9,114,23,118,128,10,AdminError
98,5,189,116,101,87,-14,Damage
99,18,50,147,111,119,8,AdminError
100,2,197,2,131,116,-15,MisPick
101,33,88,55,132,134,2,AdminError
102,23,176,35,131,122,-9,MisPick
103,18,5,86,108,121,13,AdminError
104,18,68,156,118,109,-9,AdminError
105,32,93,99,134,149,15,AdminError
106,14,179,131,127,113,-14,MisPick
107,39,108,69,109,98,-11,Damage
108,29,29,139,115,102,-13,Shrink
109,14,87,110,112,107,-5,AdminError
110,12,193,160,129,113,-16,Shrink
111,1,179,174,130,138,8,Shrink
112,28,27,39,123,129,6,Shrink
113,29,150,168,132,131,-1,AdminError
114,12,175,29,132,128,-4,Shrink
115,23,42,132,129,137,8,Damage
116,33,43,173,123,129,6,MisPick
117,31,118,52,108,118,10,Damage
118,22,49,124,133,116,-17,MisPick
119,8,156,77,112,106,-6,Damage
120,12,104,31,116,129,13,Damage
