EmployeeId,EmployeeNumber,Park,HomeZone,EmployeeName,RoleType,SkillTier,EmploymentType,HireDate,MascotQualifiedFlag,ActiveFlag
1,EMP000001,1,23,Employee 00001,RIDE_OPERATOR,LEAD,FULL_TIME,2025-05-09T10:00:00Z,False,True
2,EMP000002,6,11,Employee 00002,GUEST_SERVICES,CERTIFIED,SEASONAL,2024-02-15T14:00:00Z,False,True
3,EMP000003,6,13,Employee 00003,GUEST_SERVICES,LEAD,FULL_TIME,2024-11-28T02:00:00Z,False,True
4,EMP000004,6,28,Employee 00004,RIDE_OPERATOR,LEAD,PART_TIME,2025-06-04T08:00:00Z,False,True
5,EMP000005,5,22,Employee 00005,RIDE_OPERATOR,FOUNDATION,SEASONAL,2025-04-05T09:00:00Z,False,True
6,EMP000006,1,27,Employee 00006,SAFETY_COORDINATOR,LEAD,FULL_TIME,2024-09-24T02:00:00Z,False,True
7,EMP000007,3,29,Employee 00007,RIDE_OPERATOR,LEAD,SEASONAL,2024-08-08T06:00:00Z,False,True
8,EMP000008,1,2,Employee 00008,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2025-09-06T10:00:00Z,False,True
9,EMP000009,5,9,Employee 00009,MECHANIC,SPECIALIST,SEASONAL,2024-02-02T04:00:00Z,False,True
10,EMP000010,5,19,Employee 00010,SAFETY_COORDINATOR,SPECIALIST,SEASONAL,2024-05-09T12:00:00Z,False,True
11,EMP000011,3,26,Employee 00011,MECHANIC,CERTIFIED,SEASONAL,2024-05-20T00:00:00Z,False,True
12,EMP000012,6,28,Employee 00012,GUEST_SERVICES,CERTIFIED,FULL_TIME,2025-06-16T01:00:00Z,False,True
13,EMP000013,4,20,Employee 00013,MECHANIC,SPECIALIST,PART_TIME,2024-01-28T15:00:00Z,False,True
14,EMP000014,5,9,Employee 00014,MECHANIC,LEAD,FULL_TIME,2025-05-20T05:00:00Z,False,True
15,EMP000015,5,21,Employee 00015,RIDE_OPERATOR,LEAD,PART_TIME,2025-09-04T14:00:00Z,False,True
16,EMP000016,5,21,Employee 00016,ENTERTAINMENT_HOST,FOUNDATION,FULL_TIME,2024-05-24T14:00:00Z,False,True
17,EMP000017,3,3,Employee 00017,RIDE_OPERATOR,FOUNDATION,PART_TIME,2024-11-21T16:00:00Z,False,True
18,EMP000018,3,3,Employee 00018,GUEST_SERVICES,CERTIFIED,FULL_TIME,2025-04-04T11:00:00Z,False,True
19,EMP000019,5,21,Employee 00019,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2023-11-15T09:00:00Z,False,True
20,EMP000020,2,6,Employee 00020,RIDE_OPERATOR,LEAD,FULL_TIME,2023-12-04T03:00:00Z,False,True
21,EMP000021,2,30,Employee 00021,GUEST_SERVICES,CERTIFIED,SEASONAL,2023-06-28T16:00:00Z,False,True
22,EMP000022,1,27,Employee 00022,GUEST_SERVICES,CERTIFIED,SEASONAL,2024-04-16T00:00:00Z,False,True
23,EMP000023,3,7,Employee 00023,AREA_SUPERVISOR,MANAGER,PART_TIME,2023-05-05T07:00:00Z,False,True
24,EMP000024,1,25,Employee 00024,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2023-09-22T02:00:00Z,False,True
25,EMP000025,4,1,Employee 00025,ENTERTAINMENT_HOST,CERTIFIED,SEASONAL,2024-03-24T00:00:00Z,True,True
26,EMP000026,4,20,Employee 00026,SAFETY_COORDINATOR,SPECIALIST,FULL_TIME,2023-07-31T16:00:00Z,False,False
27,EMP000027,2,6,Employee 00027,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2024-01-08T02:00:00Z,False,True
28,EMP000028,2,4,Employee 00028,GUEST_SERVICES,FOUNDATION,FULL_TIME,2023-09-05T06:00:00Z,False,True
29,EMP000029,3,8,Employee 00029,AREA_SUPERVISOR,MANAGER,FULL_TIME,2025-05-23T17:00:00Z,False,True
30,EMP000030,3,3,Employee 00030,RIDE_OPERATOR,LEAD,FULL_TIME,2025-09-07T10:00:00Z,False,True
31,EMP000031,3,26,Employee 00031,GUEST_SERVICES,LEAD,FULL_TIME,2023-05-25T06:00:00Z,False,True
32,EMP000032,4,1,Employee 00032,RIDE_OPERATOR,LEAD,PART_TIME,2023-12-24T16:00:00Z,False,True
33,EMP000033,2,30,Employee 00033,RIDE_OPERATOR,LEAD,FULL_TIME,2023-07-22T03:00:00Z,False,True
34,EMP000034,3,29,Employee 00034,GUEST_SERVICES,FOUNDATION,PART_TIME,2023-05-26T00:00:00Z,False,True
35,EMP000035,6,11,Employee 00035,AREA_SUPERVISOR,MANAGER,FULL_TIME,2025-08-28T12:00:00Z,False,True
36,EMP000036,2,4,Employee 00036,GUEST_SERVICES,CERTIFIED,SEASONAL,2023-10-03T02:00:00Z,False,True
37,EMP000037,5,12,Employee 00037,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-05-06T15:00:00Z,False,True
38,EMP000038,3,7,Employee 00038,GUEST_SERVICES,CERTIFIED,FULL_TIME,2025-07-26T05:00:00Z,False,True
39,EMP000039,2,30,Employee 00039,RIDE_OPERATOR,LEAD,FULL_TIME,2025-06-12T04:00:00Z,False,True
40,EMP000040,3,8,Employee 00040,ENTERTAINMENT_HOST,CERTIFIED,PART_TIME,2025-01-26T00:00:00Z,True,True
41,EMP000041,5,22,Employee 00041,RIDE_OPERATOR,LEAD,PART_TIME,2023-10-24T11:00:00Z,False,True
42,EMP000042,3,8,Employee 00042,ENTERTAINMENT_HOST,FOUNDATION,SEASONAL,2024-12-31T00:00:00Z,True,True
43,EMP000043,1,2,Employee 00043,RIDE_OPERATOR,LEAD,FULL_TIME,2025-03-08T11:00:00Z,False,True
44,EMP000044,5,10,Employee 00044,AREA_SUPERVISOR,LEAD,PART_TIME,2024-09-27T17:00:00Z,True,True
45,EMP000045,2,16,Employee 00045,GUEST_SERVICES,CERTIFIED,FULL_TIME,2023-08-02T07:00:00Z,False,True
46,EMP000046,3,8,Employee 00046,GUEST_SERVICES,LEAD,FULL_TIME,2024-04-21T12:00:00Z,False,True
47,EMP000047,2,4,Employee 00047,RIDE_OPERATOR,LEAD,PART_TIME,2025-09-22T06:00:00Z,False,True
48,EMP000048,5,10,Employee 00048,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2025-11-15T04:00:00Z,False,True
49,EMP000049,6,24,Employee 00049,RIDE_OPERATOR,FOUNDATION,PART_TIME,2023-05-05T01:00:00Z,False,True
50,EMP000050,3,8,Employee 00050,RIDE_OPERATOR,LEAD,SEASONAL,2024-11-01T12:00:00Z,False,True
51,EMP000051,5,17,Employee 00051,AREA_SUPERVISOR,LEAD,FULL_TIME,2023-12-06T03:00:00Z,False,True
52,EMP000052,2,16,Employee 00052,AREA_SUPERVISOR,MANAGER,FULL_TIME,2025-09-04T11:00:00Z,False,True
53,EMP000053,5,9,Employee 00053,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2023-08-23T15:00:00Z,False,True
54,EMP000054,3,7,Employee 00054,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-04-06T16:00:00Z,False,False
55,EMP000055,3,8,Employee 00055,GUEST_SERVICES,CERTIFIED,PART_TIME,2023-10-02T11:00:00Z,False,True
56,EMP000056,3,7,Employee 00056,RIDE_OPERATOR,LEAD,FULL_TIME,2025-05-20T16:00:00Z,False,True
57,EMP000057,2,6,Employee 00057,SAFETY_COORDINATOR,CERTIFIED,FULL_TIME,2024-09-01T12:00:00Z,False,True
58,EMP000058,3,7,Employee 00058,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2023-05-27T02:00:00Z,False,True
59,EMP000059,2,4,Employee 00059,RIDE_OPERATOR,LEAD,FULL_TIME,2025-07-01T14:00:00Z,False,True
60,EMP000060,3,8,Employee 00060,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2024-05-15T12:00:00Z,False,True
61,EMP000061,6,14,Employee 00061,SAFETY_COORDINATOR,LEAD,PART_TIME,2025-07-11T11:00:00Z,False,True
62,EMP000062,3,3,Employee 00062,RIDE_OPERATOR,LEAD,FULL_TIME,2023-10-25T05:00:00Z,False,True
63,EMP000063,6,24,Employee 00063,ENTERTAINMENT_HOST,CERTIFIED,PART_TIME,2023-07-31T14:00:00Z,False,True
64,EMP000064,6,24,Employee 00064,RIDE_OPERATOR,LEAD,SEASONAL,2024-06-05T13:00:00Z,False,True
65,EMP000065,3,3,Employee 00065,RIDE_OPERATOR,LEAD,SEASONAL,2024-03-31T16:00:00Z,False,True
66,EMP000066,3,26,Employee 00066,MECHANIC,CERTIFIED,FULL_TIME,2024-02-25T14:00:00Z,False,True
67,EMP000067,2,6,Employee 00067,MECHANIC,SPECIALIST,SEASONAL,2025-06-03T16:00:00Z,False,True
68,EMP000068,3,3,Employee 00068,RIDE_OPERATOR,LEAD,PART_TIME,2024-07-05T16:00:00Z,False,True
69,EMP000069,5,10,Employee 00069,AREA_SUPERVISOR,MANAGER,SEASONAL,2025-10-11T07:00:00Z,False,True
70,EMP000070,5,10,Employee 00070,RIDE_OPERATOR,LEAD,FULL_TIME,2025-08-22T05:00:00Z,False,True
71,EMP000071,5,21,Employee 00071,GUEST_SERVICES,FOUNDATION,FULL_TIME,2023-09-03T10:00:00Z,False,True
72,EMP000072,1,27,Employee 00072,AREA_SUPERVISOR,LEAD,FULL_TIME,2025-09-24T12:00:00Z,False,True
73,EMP000073,1,23,Employee 00073,RIDE_OPERATOR,FOUNDATION,PART_TIME,2024-02-06T15:00:00Z,False,True
74,EMP000074,1,23,Employee 00074,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-03-12T04:00:00Z,False,True
75,EMP000075,5,5,Employee 00075,ENTERTAINMENT_HOST,CERTIFIED,FULL_TIME,2024-08-22T14:00:00Z,False,True
76,EMP000076,1,25,Employee 00076,GUEST_SERVICES,FOUNDATION,FULL_TIME,2025-01-30T05:00:00Z,False,True
77,EMP000077,6,28,Employee 00077,RIDE_OPERATOR,LEAD,FULL_TIME,2025-12-27T02:00:00Z,False,True
78,EMP000078,5,22,Employee 00078,RIDE_OPERATOR,FOUNDATION,PART_TIME,2025-04-07T04:00:00Z,False,True
79,EMP000079,3,8,Employee 00079,MECHANIC,LEAD,FULL_TIME,2024-06-08T02:00:00Z,False,True
80,EMP000080,1,27,Employee 00080,SAFETY_COORDINATOR,SPECIALIST,SEASONAL,2023-06-27T12:00:00Z,False,True
81,EMP000081,5,17,Employee 00081,ENTERTAINMENT_HOST,CERTIFIED,SEASONAL,2025-10-11T09:00:00Z,False,True
82,EMP000082,1,25,Employee 00082,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-06-28T02:00:00Z,False,True
83,EMP000083,3,3,Employee 00083,GUEST_SERVICES,FOUNDATION,FULL_TIME,2024-04-28T09:00:00Z,False,True
84,EMP000084,2,6,Employee 00084,AREA_SUPERVISOR,LEAD,FULL_TIME,2024-10-10T00:00:00Z,False,True
85,EMP000085,5,12,Employee 00085,RIDE_OPERATOR,FOUNDATION,PART_TIME,2024-08-04T13:00:00Z,False,True
86,EMP000086,2,30,Employee 00086,GUEST_SERVICES,LEAD,FULL_TIME,2025-07-18T02:00:00Z,False,False
87,EMP000087,6,14,Employee 00087,MECHANIC,SPECIALIST,PART_TIME,2025-10-06T06:00:00Z,False,True
88,EMP000088,5,22,Employee 00088,AREA_SUPERVISOR,MANAGER,SEASONAL,2024-03-23T02:00:00Z,False,True
89,EMP000089,1,2,Employee 00089,GUEST_SERVICES,FOUNDATION,FULL_TIME,2025-09-22T14:00:00Z,False,True
90,EMP000090,3,3,Employee 00090,RIDE_OPERATOR,FOUNDATION,FULL_TIME,2025-05-05T01:00:00Z,False,True
91,EMP000091,6,28,Employee 00091,GUEST_SERVICES,CERTIFIED,SEASONAL,2024-07-19T02:00:00Z,False,True
92,EMP000092,5,9,Employee 00092,GUEST_SERVICES,CERTIFIED,FULL_TIME,2024-08-25T03:00:00Z,False,True
93,EMP000093,4,15,Employee 00093,SAFETY_COORDINATOR,SPECIALIST,FULL_TIME,2025-12-22T07:00:00Z,False,True
94,EMP000094,6,14,Employee 00094,GUEST_SERVICES,FOUNDATION,FULL_TIME,2023-08-03T07:00:00Z,False,True
95,EMP000095,2,6,Employee 00095,RIDE_OPERATOR,LEAD,FULL_TIME,2024-06-15T11:00:00Z,False,True
96,EMP000096,2,4,Employee 00096,GUEST_SERVICES,CERTIFIED,FULL_TIME,2025-04-18T11:00:00Z,False,True
