GuestId,GuestNumber,HomeCountry,Segment,AgeBand,PartySize,AccessibilityNeeds,LoyaltyTier,VisitIntent
1,GST0000001,US,TOUR_GROUP,CHILD,5,MOBILITY,NONE,FAMILY_DAY
2,GST0000002,US,FAMILY,ADULT,6,MOBILITY,NONE,RIDE_DAY
3,GST0000003,FR,FAMILY,CHILD,3,DIETARY,ANNUAL_PASS,VACATION
4,GST0000004,MX,THRILL_SEEKER,ADULT,2,NONE,NONE,EVENT_NIGHT
5,GST0000005,US,THRILL_SEEKER,TEEN,1,DIETARY,NONE,WATER_PARK
6,GST0000006,US,LOCAL_MEMBER,ADULT,2,NONE,ANNUAL_PASS,RIDE_DAY
7,GST0000007,US,TOUR_GROUP,CHILD,4,NONE,VIP_CLUB,VACATION
8,GST0000008,CA,VIP_TRAVELER,TEEN,3,NONE,NONE,RIDE_DAY
9,GST0000009,US,VIP_TRAVELER,CHILD,4,NONE,HOTEL_GUEST,EVENT_NIGHT
10,GST0000010,US,LOCAL_MEMBER,ADULT,1,NONE,NONE,RIDE_DAY
11,GST0000011,US,THRILL_SEEKER,ADULT,3,SENSORY,ANNUAL_PASS,FAMILY_DAY
12,GST0000012,CA,VIP_TRAVELER,ADULT,3,DIETARY,NONE,RIDE_DAY
13,GST0000013,US,TOUR_GROUP,ADULT,10,DIETARY,ANNUAL_PASS,FAMILY_DAY
14,GST0000014,BR,FAMILY,ADULT,3,SENSORY,NONE,RIDE_DAY
15,GST0000015,US,VIP_TRAVELER,TEEN,2,NONE,VIP_CLUB,EVENT_NIGHT
16,GST0000016,US,THRILL_SEEKER,SENIOR,3,NONE,HOTEL_GUEST,WATER_PARK
17,GST0000017,GB,LOCAL_MEMBER,ADULT,4,NONE,NONE,WATER_PARK
18,GST0000018,US,FAMILY,TEEN,2,HEARING,ANNUAL_PASS,WATER_PARK
19,GST0000019,AE,THRILL_SEEKER,ADULT,1,NONE,NONE,RIDE_DAY
20,GST0000020,US,FAMILY,ADULT,5,NONE,NONE,FAMILY_DAY
21,GST0000021,US,FAMILY,ADULT,6,SENSORY,VIP_CLUB,RIDE_DAY
22,GST0000022,FR,THRILL_SEEKER,CHILD,2,MOBILITY,NONE,RIDE_DAY
23,GST0000023,GB,THRILL_SEEKER,CHILD,1,NONE,HOTEL_GUEST,RIDE_DAY
24,GST0000024,BR,TOUR_GROUP,TEEN,10,NONE,NONE,VACATION
25,GST0000025,US,THRILL_SEEKER,ADULT,3,NONE,VIP_CLUB,WATER_PARK
26,GST0000026,US,FAMILY,SENIOR,6,NONE,NONE,FAMILY_DAY
27,GST0000027,US,SCHOOL_TRIP,ADULT,16,MOBILITY,VIP_CLUB,RIDE_DAY
28,GST0000028,US,TOUR_GROUP,CHILD,8,NONE,NONE,RIDE_DAY
29,GST0000029,FR,THRILL_SEEKER,ADULT,1,NONE,NONE,VACATION
30,GST0000030,US,VIP_TRAVELER,ADULT,2,NONE,NONE,VACATION
31,GST0000031,US,LOCAL_MEMBER,ADULT,2,NONE,NONE,FAMILY_DAY
32,GST0000032,DE,TOUR_GROUP,CHILD,9,NONE,HOTEL_GUEST,RIDE_DAY
33,GST0000033,AE,THRILL_SEEKER,ADULT,1,NONE,ANNUAL_PASS,VACATION
34,GST0000034,US,THRILL_SEEKER,ADULT,2,DIETARY,NONE,WATER_PARK
35,GST0000035,CA,FAMILY,ADULT,2,SENSORY,NONE,WATER_PARK
36,GST0000036,US,THRILL_SEEKER,ADULT,3,NONE,NONE,RIDE_DAY
37,GST0000037,DE,VIP_TRAVELER,CHILD,3,NONE,NONE,RIDE_DAY
38,GST0000038,US,FAMILY,SENIOR,3,MOBILITY,NONE,FAMILY_DAY
39,GST0000039,MX,FAMILY,SENIOR,5,NONE,NONE,VACATION
40,GST0000040,CA,TOUR_GROUP,ADULT,5,NONE,NONE,RIDE_DAY
41,GST0000041,MX,SCHOOL_TRIP,ADULT,11,NONE,VIP_CLUB,FAMILY_DAY
42,GST0000042,CA,VIP_TRAVELER,ADULT,2,NONE,NONE,VACATION
43,GST0000043,US,SCHOOL_TRIP,CHILD,20,DIETARY,ANNUAL_PASS,EVENT_NIGHT
44,GST0000044,US,FAMILY,ADULT,2,NONE,ANNUAL_PASS,VACATION
45,GST0000045,AE,THRILL_SEEKER,ADULT,1,DIETARY,NONE,RIDE_DAY
46,GST0000046,BR,FAMILY,ADULT,2,NONE,NONE,RIDE_DAY
47,GST0000047,US,THRILL_SEEKER,ADULT,3,DIETARY,VIP_CLUB,WATER_PARK
48,GST0000048,MX,THRILL_SEEKER,CHILD,2,NONE,VIP_CLUB,FAMILY_DAY
49,GST0000049,BR,TOUR_GROUP,SENIOR,8,MOBILITY,HOTEL_GUEST,VACATION
50,GST0000050,MX,FAMILY,ADULT,2,NONE,NONE,RIDE_DAY
51,GST0000051,US,FAMILY,TEEN,3,NONE,ANNUAL_PASS,VACATION
52,GST0000052,US,FAMILY,ADULT,3,HEARING,NONE,VACATION
53,GST0000053,US,FAMILY,SENIOR,1,NONE,HOTEL_GUEST,WATER_PARK
54,GST0000054,US,LOCAL_MEMBER,TEEN,4,NONE,NONE,FAMILY_DAY
55,GST0000055,US,LOCAL_MEMBER,ADULT,2,NONE,NONE,WATER_PARK
56,GST0000056,JP,TOUR_GROUP,ADULT,7,DIETARY,VIP_CLUB,VACATION
57,GST0000057,US,TOUR_GROUP,CHILD,10,NONE,NONE,FAMILY_DAY
58,GST0000058,US,FAMILY,ADULT,6,NONE,ANNUAL_PASS,RIDE_DAY
59,GST0000059,MX,FAMILY,ADULT,5,NONE,NONE,EVENT_NIGHT
60,GST0000060,US,VIP_TRAVELER,CHILD,2,NONE,NONE,EVENT_NIGHT
61,GST0000061,US,SCHOOL_TRIP,TEEN,21,MOBILITY,ANNUAL_PASS,VACATION
62,GST0000062,US,LOCAL_MEMBER,ADULT,1,NONE,NONE,FAMILY_DAY
63,GST0000063,US,LOCAL_MEMBER,TEEN,4,NONE,ANNUAL_PASS,RIDE_DAY
64,GST0000064,BR,LOCAL_MEMBER,CHILD,3,DIETARY,VIP_CLUB,FAMILY_DAY
65,GST0000065,GB,LOCAL_MEMBER,ADULT,4,SENSORY,ANNUAL_PASS,WATER_PARK
66,GST0000066,MX,SCHOOL_TRIP,ADULT,23,NONE,NONE,RIDE_DAY
67,GST0000067,US,THRILL_SEEKER,ADULT,3,NONE,NONE,WATER_PARK
68,GST0000068,US,THRILL_SEEKER,ADULT,3,NONE,NONE,VACATION
69,GST0000069,AE,LOCAL_MEMBER,ADULT,3,NONE,ANNUAL_PASS,VACATION
70,GST0000070,JP,THRILL_SEEKER,ADULT,2,NONE,NONE,VACATION
71,GST0000071,JP,FAMILY,ADULT,5,DIETARY,HOTEL_GUEST,RIDE_DAY
72,GST0000072,US,FAMILY,ADULT,6,SENSORY,NONE,FAMILY_DAY
73,GST0000073,CA,LOCAL_MEMBER,ADULT,1,HEARING,NONE,FAMILY_DAY
74,GST0000074,US,THRILL_SEEKER,ADULT,1,NONE,HOTEL_GUEST,FAMILY_DAY
75,GST0000075,US,FAMILY,CHILD,2,NONE,NONE,FAMILY_DAY
76,GST0000076,US,LOCAL_MEMBER,CHILD,1,NONE,NONE,RIDE_DAY
77,GST0000077,MX,FAMILY,ADULT,6,NONE,VIP_CLUB,FAMILY_DAY
78,GST0000078,US,SCHOOL_TRIP,SENIOR,17,NONE,HOTEL_GUEST,FAMILY_DAY
79,GST0000079,US,SCHOOL_TRIP,ADULT,12,NONE,HOTEL_GUEST,VACATION
80,GST0000080,MX,FAMILY,ADULT,3,NONE,HOTEL_GUEST,FAMILY_DAY
81,GST0000081,MX,SCHOOL_TRIP,ADULT,23,NONE,ANNUAL_PASS,RIDE_DAY
82,GST0000082,US,VIP_TRAVELER,TEEN,1,NONE,NONE,VACATION
83,GST0000083,US,FAMILY,ADULT,4,NONE,ANNUAL_PASS,RIDE_DAY
84,GST0000084,GB,THRILL_SEEKER,ADULT,2,NONE,NONE,WATER_PARK
85,GST0000085,US,LOCAL_MEMBER,ADULT,2,NONE,NONE,FAMILY_DAY
86,GST0000086,US,FAMILY,ADULT,6,HEARING,HOTEL_GUEST,FAMILY_DAY
87,GST0000087,MX,THRILL_SEEKER,TEEN,1,DIETARY,NONE,FAMILY_DAY
88,GST0000088,US,THRILL_SEEKER,CHILD,2,DIETARY,NONE,RIDE_DAY
89,GST0000089,US,FAMILY,ADULT,1,NONE,NONE,FAMILY_DAY
90,GST0000090,FR,TOUR_GROUP,TEEN,11,NONE,HOTEL_GUEST,FAMILY_DAY
91,GST0000091,US,LOCAL_MEMBER,SENIOR,3,NONE,NONE,VACATION
