TicketId,TicketCode,Guest,Park,VisitDate,TicketType,EntryChannel,PricePaid,FastAccessFlag,AddOnBundle,TicketStatus
1,TKT00000001,1093,5,2026-07-27T16:45:00Z,MULTI_DAY,MOBILE_APP,296.28,False,NONE,USED
2,TKT00000002,1180,6,2026-05-23T17:45:00Z,VIP,WEBSITE,489.53,True,FAST_ACCESS,USED
3,TKT00000003,2791,3,2026-07-28T14:15:00Z,ANNUAL_PASS,MOBILE_APP,500.85,False,NONE,USED
4,TKT00000004,1633,5,2026-06-21T13:45:00Z,DAY_PASS,MOBILE_APP,170.35,True,FAST_ACCESS,USED
5,TKT00000005,2331,2,2026-06-09T12:15:00Z,DAY_PASS,MOBILE_APP,144.14,False,NONE,USED
6,TKT00000006,2525,5,2026-07-11T17:45:00Z,ANNUAL_PASS,WEBSITE,912.46,False,PARKING_PLUS,USED
7,TKT00000007,1517,5,2026-07-28T10:45:00Z,VIP,WEBSITE,582.26,True,FAST_ACCESS,CANCELLED
8,TKT00000008,312,2,2026-05-15T08:15:00Z,DAY_PASS,TRAVEL_AGENT,232.45,False,RAINY_DAY_CREDIT,USED
9,TKT00000009,432,3,2026-05-24T13:15:00Z,DAY_PASS,MOBILE_APP,137.88,True,FAST_ACCESS,USED
10,TKT00000010,2643,3,2026-06-25T17:45:00Z,DAY_PASS,MOBILE_APP,123.71,False,NONE,USED
11,TKT00000011,1393,2,2026-05-21T08:30:00Z,DAY_PASS,ON_SITE,147.34,False,DINING_PHOTO,USED
12,TKT00000012,1584,4,2026-05-04T14:45:00Z,VIP,MOBILE_APP,306.29,True,FAST_ACCESS,USED
13,TKT00000013,7,1,2026-05-14T13:30:00Z,ANNUAL_PASS,WEBSITE,680.13,False,NONE,USED
14,TKT00000014,2549,6,2026-05-24T17:15:00Z,DAY_PASS,MOBILE_APP,113.42,False,NONE,USED
15,TKT00000015,1773,3,2026-08-18T15:45:00Z,VIP,WEBSITE,495.85,True,FAST_ACCESS,USED
16,TKT00000016,2769,1,2026-07-02T12:15:00Z,MULTI_DAY,ON_SITE,319.39,False,DINING_PHOTO,USED
17,TKT00000017,993,5,2026-07-20T08:45:00Z,MULTI_DAY,HOTEL_DESK,432.0,True,FAST_ACCESS,USED
18,TKT00000018,906,3,2026-06-26T09:15:00Z,MULTI_DAY,WEBSITE,471.71,True,FAST_ACCESS,USED
19,TKT00000019,1404,1,2026-05-17T15:00:00Z,MULTI_DAY,WEBSITE,529.63,False,DINING_PHOTO,USED
20,TKT00000020,86,4,2026-07-22T11:00:00Z,ANNUAL_PASS,WEBSITE,679.28,False,PARKING_PLUS,USED
21,TKT00000021,1532,2,2026-08-07T16:15:00Z,DAY_PASS,WEBSITE,117.57,False,NONE,USED
22,TKT00000022,2173,5,2026-05-13T12:15:00Z,DAY_PASS,MOBILE_APP,106.49,False,NONE,USED
23,TKT00000023,793,2,2026-08-26T17:15:00Z,DAY_PASS,WEBSITE,171.67,False,DINING_PHOTO,UPGRADED
24,TKT00000024,243,1,2026-05-27T08:15:00Z,DAY_PASS,WEBSITE,107.52,True,FAST_ACCESS,UPGRADED
25,TKT00000025,532,5,2026-07-27T14:00:00Z,MULTI_DAY,WEBSITE,190.48,False,NONE,USED
26,TKT00000026,2650,2,2026-07-02T17:45:00Z,MULTI_DAY,WEBSITE,321.79,True,FAST_ACCESS,CANCELLED
27,TKT00000027,167,3,2026-07-11T14:30:00Z,DAY_PASS,HOTEL_DESK,194.8,True,FAST_ACCESS,USED
28,TKT00000028,2709,2,2026-08-19T16:30:00Z,DAY_PASS,MOBILE_APP,258.5,False,CHARACTER_MEET,USED
29,TKT00000029,1881,1,2026-07-02T10:30:00Z,DAY_PASS,MOBILE_APP,164.47,False,NONE,USED
30,TKT00000030,268,3,2026-08-12T12:00:00Z,DAY_PASS,MOBILE_APP,104.72,False,NONE,NO_SHOW
31,TKT00000031,2028,1,2026-06-19T10:45:00Z,MULTI_DAY,TRAVEL_AGENT,188.27,False,PARKING_PLUS,NO_SHOW
32,TKT00000032,1642,3,2026-05-29T16:30:00Z,DAY_PASS,HOTEL_DESK,105.83,True,FAST_ACCESS,USED
33,TKT00000033,1160,2,2026-06-16T17:30:00Z,DAY_PASS,HOTEL_DESK,152.15,False,DINING_PHOTO,USED
34,TKT00000034,250,4,2026-06-11T12:30:00Z,ANNUAL_PASS,MOBILE_APP,595.62,False,NONE,USED
35,TKT00000035,898,4,2026-05-01T14:00:00Z,DAY_PASS,MOBILE_APP,194.26,False,DINING_PHOTO,USED
36,TKT00000036,816,5,2026-07-18T09:15:00Z,DAY_PASS,ON_SITE,207.4,False,DINING_PHOTO,USED
37,TKT00000037,789,1,2026-07-05T12:30:00Z,ANNUAL_PASS,HOTEL_DESK,692.04,True,FAST_ACCESS,USED
38,TKT00000038,2323,2,2026-06-22T09:00:00Z,VIP,MOBILE_APP,485.72,True,FAST_ACCESS,USED
39,TKT00000039,137,3,2026-05-02T10:30:00Z,VIP,MOBILE_APP,450.48,True,FAST_ACCESS,USED
40,TKT00000040,1909,5,2026-06-12T12:30:00Z,DAY_PASS,TRAVEL_AGENT,167.57,True,FAST_ACCESS,UPGRADED
41,TKT00000041,2404,2,2026-07-30T11:45:00Z,DAY_PASS,MOBILE_APP,118.34,False,NONE,USED
42,TKT00000042,398,1,2026-06-15T08:30:00Z,FAST_ACCESS,WEBSITE,421.2,True,FAST_ACCESS,USED
43,TKT00000043,655,5,2026-08-28T08:45:00Z,VIP,WEBSITE,702.47,True,FAST_ACCESS,CANCELLED
44,TKT00000044,850,5,2026-07-19T09:45:00Z,VIP,WEBSITE,288.85,True,FAST_ACCESS,USED
45,TKT00000045,1351,2,2026-08-02T08:45:00Z,MULTI_DAY,MOBILE_APP,416.23,True,FAST_ACCESS,UPGRADED
46,TKT00000046,766,3,2026-05-20T11:30:00Z,FAST_ACCESS,WEBSITE,165.68,True,FAST_ACCESS,USED
47,TKT00000047,1580,2,2026-06-10T14:15:00Z,DAY_PASS,WEBSITE,92.56,False,DINING_PHOTO,USED
48,TKT00000048,2788,2,2026-05-11T12:30:00Z,FAST_ACCESS,HOTEL_DESK,304.46,True,FAST_ACCESS,USED
49,TKT00000049,882,5,2026-08-14T16:15:00Z,DAY_PASS,WEBSITE,224.32,True,FAST_ACCESS,UPGRADED
50,TKT00000050,2146,2,2026-08-16T09:15:00Z,FAST_ACCESS,MOBILE_APP,160.11,True,FAST_ACCESS,USED
51,TKT00000051,1038,3,2026-06-05T17:45:00Z,ANNUAL_PASS,WEBSITE,516.09,False,DINING_PHOTO,UPGRADED
52,TKT00000052,538,3,2026-06-15T13:45:00Z,DAY_PASS,TRAVEL_AGENT,147.83,False,PARKING_PLUS,USED
53,TKT00000053,2380,5,2026-05-10T11:45:00Z,VIP,WEBSITE,484.0,True,FAST_ACCESS,USED
54,TKT00000054,1121,1,2026-07-15T12:30:00Z,DAY_PASS,WEBSITE,135.14,False,RAINY_DAY_CREDIT,USED
55,TKT00000055,71,5,2026-06-28T13:15:00Z,VIP,MOBILE_APP,500.04,True,FAST_ACCESS,USED
56,TKT00000056,1084,2,2026-05-26T11:30:00Z,MULTI_DAY,MOBILE_APP,287.32,False,PARKING_PLUS,USED
57,TKT00000057,2558,5,2026-05-28T12:00:00Z,DAY_PASS,MOBILE_APP,226.98,False,CHARACTER_MEET,USED
58,TKT00000058,1323,6,2026-08-16T15:45:00Z,FAST_ACCESS,WEBSITE,344.2,True,FAST_ACCESS,USED
59,TKT00000059,1498,3,2026-06-18T13:45:00Z,DAY_PASS,TRAVEL_AGENT,148.52,False,RAINY_DAY_CREDIT,UPGRADED
60,TKT00000060,1213,2,2026-06-20T17:45:00Z,VIP,WEBSITE,444.45,True,FAST_ACCESS,USED
61,TKT00000061,1577,4,2026-05-22T13:15:00Z,MULTI_DAY,MOBILE_APP,212.76,False,DINING_PHOTO,CANCELLED
